Rank,Company Name,Country,Number of Employees,Previous Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions)
146,China North Industries Group,China,216339,136,82689,0.011,1788,0.027,75355
147,Tencent Holdings,China,108436,121,82440,-0.051,27984,-0.197,228808
148,Japan Post Holdings,Japan,227369,94,82291,-0.179,3185,-0.287,2230764
149,ConocoPhillips,U.S.,9500,284,82156,0.699,18680,1.312,93829
150,Aviation Industry Corp. of China,China,383000,144,81671,0.029,1528,0.787,185527
151,Maersk Group,Denmark,104260,206,81529,0.32,29198,0.627,93680
152,Tesla,U.S.,127855,242,81462,0.514,12556,1.275,82338
153,Hitachi,Japan,322525,113,80389,-0.12,4796,-0.077,94180
154,Procter & Gamble,U.S.,106000,154,80187,0.053,14742,0.03,117208
155,ArcelorMittal,Luxembourg,154352,153,79844,0.043,9302,-0.378,94547
156,Tesco,Britain,222306,126,79687,-0.054,903,-0.556,55843
157,Pacific Construction Group,China,301565,150,79478,0.031,5188,-0.073,55154
158,Oil & Natural Gas,India,37047,190,78746,0.194,4414,-0.278,74851
159,U.S. Postal Service,U.S.,576065,151,78620,0.02,56046,-,46115
160,Nissan Motor,Japan,139418,161,78287,0.044,1639,-0.146,132579
161,Bank of Communications,China,91823,155,78213,0.029,13699,0.009,1883724
162,Siemens,Germany,311000,159,77860,0.031,4027,-0.453,148184
163,Jinneng Holding Group,China,470839,163,77761,0.043,359,-,160235
164,Albertsons,U.S.,198650,170,77650,0.08,1514,-0.066,26168
165,Guangzhou Automobile Industry Group,China,119425,186,77345,0.155,623,0.026,57256
166,Aluminum Corp. of China,China,130416,139,76946,-0.043,1698,0.213,90619
167,General Electric,U.S.,172000,165,76555,0.032,225,-,187788
168,Taiwan Semiconductor Manufacturing,Taiwan,73090,225,76022,0.338,33343,0.572,161661
169,Shaanxi Coal & Chemical Industry,China,138047,209,75871,0.238,1386,1.324,104788
170,Munich Re Group,Germany,41389,133,75747,-0.088,3610,0.041,318574
171,Jiangxi Copper,China,33248,176,74927,0.057,464,-0.001,30396
172,Shandong Weiqiao Pioneering Group,China,98100,199,74923,0.175,931,-0.47,37309
173,China Vanke,China,131817,178,74901,0.067,3362,-0.037,254765
174,Wilmar International,Singapore,100000,192,73399,0.116,2403,0.271,60402
175,China Merchants Group,China,276019,152,73283,-0.045,8474,-0.006,381608
176,Toyota Tsusho,Japan,66944,172,72760,0.018,2099,0.061,48042
177,JBS,Brazil,260000,194,72626,0.117,2995,-0.212,39370
178,Repsol,Spain,23426,251,72536,0.386,4471,0.513,63982
179,China Merchants Bank,China,112999,174,72317,0.018,20517,0.104,1470004
180,BHP Group,Australia,39210,213,71502,0.176,30900,1.734,95166
181,Nippon Life Insurance,Japan,88528,164,71213,-0.043,873,-0.717,659896
182,Dai-ichi Life Holdings,Japan,60997,167,70329,-0.038,1421,-0.61,463906
183,MetLife,U.S.,45000,173,69898,-0.017,2539,-0.613,666611
184,Roche Group,Switzerland,103613,169,69596,-0.034,13014,-0.146,95319
185,Goldman Sachs Group,U.S.,48500,195,68711,0.057,11261,-0.48,1441799
186,Sysco,U.S.,70510,261,68636,0.338,1359,1.592,22086
187,Mitsubishi UFJ Financial Group,Japan,127122,240,68567,0.268,8249,-0.181,2913963
188,Dongfeng Motor,China,134637,122,68416,-0.206,1211,-0.159,73288
189,AEON,Japan,369404,148,67985,-0.13,159,1.734,90607
190,Marubeni,Japan,49546,157,67898,-0.104,4012,0.062,59919
191,China Poly Group,China,118007,181,67696,-0.019,1288,-0.367,265106
192,China Pacific Insurance (Group),China,104502,182,67696,-0.009,3658,-0.121,315534
193,Beijing Automotive Group,China,95000,162,67282,-0.099,296,-0.069,68342
194,Bunge,U.S.,23000,219,67232,0.137,1610,-0.225,24580
195,RTX,U.S.,182000,197,67074,0.042,5197,0.345,158864
196,Kia,South Korea,35847,212,67055,0.098,4191,0.007,58596
197,Boeing,U.S.,156000,204,66608,0.069,-4935,-,137100
198,StoneX Group,U.S.,3615,327,66036,0.553,207,0.781,19860
199,Lockheed Martin,U.S.,116000,185,65984,-0.016,5732,-0.092,52880
200,Morgan Stanley,U.S.,82427,211,65936,0.079,11029,-0.266,1180231
201,POSCO Holdings,South Korea,38175,188,65850,-0.009,2446,-0.576,78716
202,Vinci,France,271648,218,65750,0.107,4479,0.459,119494
